Refnr     Vetenskapligt namn                  Engelskt namn    Föreslaget svenskt namn
  432   Coturnix coromandelica       Black-breasted Quail             Svartbröstad vaktel
  433   Coturnix delegorguei         Harlequin Quail                  Harlekinvaktel
  434   Coturnix pectoralis          Stubble Quail                    Stäppvaktel
  435   Coturnix ypsilophora         Brown Quail                      Brun vaktel
  436   Coturnix adansonii           Blue Quail                       Blå dvärgvaktel
  437   Coturnix chinensis           Blue-breasted Quail              Kinesisk dvärgvaktel
  438   Perdicula asiatica           Jungle Bush-Quail                Djungelbuskvaktel
  439   Perdicula argoondah          Rock Bush-Quail                  Klippbuskvaktel
  440   Perdicula erythrorhyncha     Painted Bush-Quail               Rödnäbbad buskvaktel
  441   Perdicula manipurensis       Manipur Bush-Quail               Manipurbuskvaktel
  442   Arborophila torqueola        Common Hill-Partridge            Brunkronad sånghöna
  443   Arborophila rufogularis      Rufous-throated Hill-Partridge   Roststrupig sånghöna
  444   Arborophila atrogularis      White-cheeked Hill-Partridge     Vitkindad sånghöna
  445   Arborophila crudigularis     Taiwan Partridge                 Taiwansånghöna
  446   Arborophila mandellii        Red-breasted Hill-Partridge      Sikkimsånghöna
  447   Arborophila brunneopectus    Brown-breasted Hill-Partridge    Brunbröstad sånghöna
  448   Arborophila rufipectus       Sichuan Hill-Partridge           Sichuansånghöna
  449   Arborophila gingica          Rickett's Hill-Partridge         Ricketts sånghöna
  450   Arborophila davidi           Orange-necked Hill-Partridge     Davídsånghöna
  451   Arborophila cambodiana       Chestnut-headed Hill-Partridge   Kambodjasånghöna
  452   Arborophila orientalis       White-faced Hill-Partridge       Vitmaskad sånghöna
  453   Arborophila campbelli        Malaysian Hill-Partridge         Malajsånghöna
  454   Arborophila sumatrana        Sumatran Partridge               Sumatrasånghöna
  455   Arborophila javanica         Javan Hill-Partridge             Javasånghöna
  456   Arborophila rubrirostris     Red-billed Hill-Partridge        Rödnäbbad sånghöna
  457   Arborophila hyperythra       Borneo Hill-Partridge            Borneosånghöna
  458   Arborophila ardens           Hainan Hill-Partridge            Hainansånghöna
  459   Arborophila charltonii       Chestnut-necklaced Partridge     Charltonsånghöna
  460   Arborophila chloropus        Green-legged Hill-Partridge      Grönbent sånghöna
  461   Arborophila merlini        Annamese Hill-Partridge         Annamsånghöna
  462   Arborophila rolli          Roll's Partridge                Rolls sånghöna
  463   Xenoperdix udzungwensis    Udzungwa Forest Partridge       Udzungwahöna
  464   Caloperdix oculeus         Ferruginous Wood-Partridge      Rostskogshöna
  465   Haematortyx sanguiniceps   Crimson-headed Wood-Partridge   Rödhuvad skogshöna
  466   Rollulus rouloul           Crested Wood-Partridge          Hjälmvaktel
  467   Ptilopachus petrosus       Stone Partridge                 Stenvaktel
  468   Bambusicola fytchii        Mountain Bamboo-Partridge       Vitbrynad bambuhöna
  469   Bambusicola thoracicus     Chinese Bamboo-Partridge        Kinesisk bambuhöna
  470   Galloperdix spadicea       Red Spurfowl                    Röd sporrhöna
  471   Galloperdix lunulata       Painted Spurfowl                Broksporrhöna
  472   Galloperdix bicalcarata    Sri Lanka Spurfowl              Ceylonsporrhöna
  473   Ithaginis cruentus         Blood Pheasant                  Blodfasan
  474   Tragopan melanocephalus    Western Tragopan                Västlig tragopan
  475   Tragopan satyra            Satyr Tragopan                  Satyrtragopan
  476   Tragopan blythii           Blyth's Tragopan                Gråbukad tragopan
  477   Tragopan temminckii        Temminck's Tragopan             Temmincks tragopan
  478   Tragopan caboti            Cabot's Tragopan                Beige tragopan
  479   Pucrasia macrolopha        Koklass Pheasant                Koklassfasan
  480   Lophophorus impejanus      Himalayan Monal                 Himalayamonal
  481   Lophophorus sclateri       Sclater's Monal                 Vitstjärtad monal
  482   Lophophorus lhuysii        Chinese Monal                   Kinesisk monal
  483   Gallus gallus              Red Junglefowl                  Röd djungelhöna
  484   Gallus lafayetii           Sri Lanka Junglefowl            Singalesisk bankivahöna
  485   Gallus sonneratii          Grey Junglefowl                 Grå bankivahöna
  486   Gallus varius              Green Junglefowl                Grön bankivahöna
  487   Lophura leucomelanos       Kalij Pheasant                  Kalijfasan
  488   Lophura nycthemera         Silver Pheasant                 Silverfasan
  489   Lophura imperialis         Imperial Pheasant               Kejsarfasan
  490   Lophura edwardsi           Edwards's Pheasant              Edwardfasan
  491   Lophura hatinhensis        Vietnamese Pheasant             Vietnamfasan
  492   Lophura swinhoii           Swinhoe's Pheasant              Swinhoefasan
  493   Lophura inornata           Salvadori's Pheasant            Salvadorifasan
  494   Lophura erythrophthalma        Crestless Fireback           Släthuvad eldrygg
  495   Lophura ignita                 Crested Fireback             Tofseldrygg
  496   Lophura diardi                 Siamese Fireback             Siamesisk eldrygg
  497   Lophura bulweri                Bulwer's Pheasant            Bulwerfasan
  498   Crossoptilon crossoptilon      White Eared-Pheasant         Vit öronfasan
  499   Crossoptilon harmani           Tibetan Eared-Pheasant       Tibetansk öronfasan
  500   Crossoptilon mantchuricum      Brown Eared-Pheasant         Brun öronfasan
  501   Crossoptilon auritum           Blue Eared-Pheasant          Blå öronfasan
  502   Catreus wallichii              Cheer Pheasant               Klippfasan
  503   Syrmaticus ellioti             Elliot's Pheasant            Elliotfasan
  504   Syrmaticus humiae              Hume's Pheasant              Humes fasan
  505   Syrmaticus mikado              Mikado Pheasant              Mikadofasan
  506   Syrmaticus soemmerringii       Copper Pheasant              Kopparfasan
  507   Syrmaticus reevesii            Reeves's Pheasant            Kungsfasan
  508   Phasianus colchicus            Common Pheasant              Fasan
  509   Phasianus versicolor           Green Pheasant               Grön fasan
  510   Chrysolophus pictus            Golden Pheasant              Guldfasan
  511   Chrysolophus amherstiae        Lady Amherst's Pheasant      Diamantfasan
  512   Polyplectron chalcurum         Sumatran Peacock-Pheasant    Sumatrapåfågelfasan
  513   Polyplectron inopinatum        Mountain Peacock-Pheasant    Bergspåfågelfasan
  514   Polyplectron germaini          Germain's Peacock-Pheasant   Germains påfågelfasan
  515   Polyplectron bicalcaratum      Grey Peacock-Pheasant        Grå påfågelfasan
  516   Polyplectron katsumatae        Hainan Peacock-Pheasant      Hainanfasan
  517   Polyplectron malacense         Malayan Peacock-Pheasant     Malajpåfågelfasan
  518   Polyplectron schleiermacheri   Bornean Peacock-Pheasant     Borneopåfågelfasan
  519   Polyplectron napoleonis        Palawan Peacock-Pheasant     Palawanpåfågelfasan
  520   Rheinardia ocellata            Crested Argus                Tofsargusfasan
  521   Argusianus argus               Great Argus                  Större argusfasan
  522   Pavo cristatus                 Common Peafowl               Påfågel
  523   Pavo muticus                   Green Peafowl                Grön påfågel
  524   Afropavo congensis             Congo Peacock                Kongopåfågel
  525   Agelastes niger                Black Guineafowl             Svart pärlhöna
  526   Agelastes meleagrides          White-breasted Guineafowl    Kalkonpärlhöna
  527   Numida meleagris              Helmeted Guineafowl         Hjälmpärlhöna
  528   Guttera plumifera             Plumed Guineafowl           Plympärlhöna
  529   Guttera pucherani             Crested Guineafowl          Tofspärlhöna
  530   Acryllium vulturinum          Vulturine Guineafowl        Gampärlhöna
  531                                 Spheniscidae, Pingviner
  532   Aptenodytes patagonicus       King Penguin                Kungspingvin
  533   Aptenodytes forsteri          Emperor Penguin             Kejsarpingvin
  534   Pygoscelis papua              Gentoo Penguin              Åsnepingvin
  535   Pygoscelis adeliae            Adélie Penguin              Adeliepingvin
  536   Pygoscelis antarcticus        Chinstrap Penguin           Hakremspingvin
  537   Eudyptes chrysocome           Rockhopper Penguin          Klipphopparpingvin
  538   Eudyptes pachyrhynchus        Fiordland Penguin           Nya Zeelandtofspingvin
  539   Eudyptes robustus             Snares Penguin              Snaretofspingvin
  540   Eudyptes sclateri             Erect-crested Penguin       Sclaters tofspingvin
  541   Eudyptes chrysolophus         Macaroni Penguin            Macaronipingvin
  542   Eudyptes schlegeli            Royal Penguin               Kungstofspingvin
  543   Megadyptes antipodes          Yellow-eyed Penguin         Gulögd pingvin
  544   Eudyptula minor               Little Penguin              Dvärgpingvin
  545   Spheniscus demersus           Jackass Penguin             Sydafrikansk pingvin
  546   Spheniscus humboldti          Humboldt Penguin            Humboldtpingvin
  547   Spheniscus magellanicus       Magellanic Penguin          Magellanpingvin
  548   Spheniscus mendiculus         Galapagos Penguin           Galapagospingvin
  549                                 Lommar, Gaviidae
  550   Gavia   stellata              Red-throated Loon           Smålom
  551   Gavia   arctica               Black-throated Loon         Storlom
  552   Gavia   pacifica              Pacific Loon                Stillahavslom
  553   Gavia   immer                 Great Northern Loon         Svartnäbbad islom
  554   Gavia   adamsii               Yellow-billed Loon          Vitnäbbad islom
  555                                 Podicepididae, Doppingar
  556   Rollandia rolland             White-tufted Grebe          Vittofsad dopping
  557   Rollandia microptera          Titicaca Flightless Grebe   Titicacadopping
  558   Tachybaptus novaehollandiae   Australasian Grebe          Australisk smådopping
  559   Tachybaptus ruficollis        Little Grebe                Smådopping
  560   Tachybaptus pelzelnii         Madagascar Grebe             Madagaskarsmådopping
  561   Tachybaptus dominicus         Least Grebe                  Dvärgdopping
  562   Podilymbus podiceps           Pied-billed Grebe            Tjocknäbbad dopping
  563   Poliocephalus poliocephalus   Hoary-headed Grebe           Gråhuvad dopping
